respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
1924,2,38,15,NA,12,NA,General studies,Other,High school diploma,Female,1,Temp not working,NA,30,Someone else,Private,Waiters and waitresses,Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Fair,Routine,Ballot c,About right,About right,4,Refused,Refused,NA,546,Democrat,Moderate,Too much,Too little,Too little,NA
1925,3,56,11,10,12,NA,NA,NA,NA,Male,3,Working fulltime,45,NA,Someone else,Private,Glaziers,Never married,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,2,$25000 or more,$25000 or more,NA,546,Democrat,Slghtly conservative,About right,Too little,Too little,NA
1926,0,60,17,6,12,NA,Education,NA,High school diploma,Female,6,Working fulltime,40,NA,Someone else,Private,Telemarketers,Divorced,NA,White,Yes,Govt reduce diff,Oppose,NA,Protestant,Other,Jehovah's Witnesses,Very happy,Excellent,Exciting,Ballot c,Too little,Too little,1,$25000 or more,$25000 or more,NA,546,NA,Moderate,NA,NA,NA,NA
1927,1,27,13,NA,18,NA,NA,NA,Ged,Male,1,Working fulltime,20,NA,Self-employed,Private,"Sales representatives,  wholesale and manufacturing",Never married,NA,White,Yes,NA,Favor,NA,None,NA,NA,Very happy,Excellent,Exciting,Ballot a,Too little,Too much,3,$25000 or more,(Missing),NA,546,NA,Moderate,NA,NA,NA,NA
1928,0,25,12,14,NA,NA,NA,NA,High school diploma,Female,2,Working parttime,22,NA,Someone else,Private,"Office clerks, general",Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,Protestant,Other,Jehovah's Witnesses,Not too happy,Poor,Routine,Ballot c,Too little,Too little,3,$25000 or more,$5000 to 5999,NA,546,NA,Slightly liberal,Too much,Too little,Too little,NA
1929,1,38,12,5,12,NA,NA,NA,High school diploma,Male,2,Working fulltime,50,NA,Someone else,Government,"Production workers, all other",Never married,NA,Other,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,Refused,Refused,NA,546,NA,(Missing),About right,Too little,Too little,NA
1930,1,71,16,8,12,NA,Art,NA,High school diploma,Female,3,Working parttime,20,NA,Someone else,Private,Artists and related workers,Divorced,NA,Other,Yes,NA,Favor,NA,Protestant,Presbyterian-dk wh,NA,Pretty happy,Excellent,Exciting,Ballot a,Too little,Too little,1,$25000 or more,(Missing),NA,88,NA,Conservative,Too little,Too little,Too little,NA
1931,1,73,11,NA,NA,12,NA,NA,Ged,Male,1,Working fulltime,30,NA,Self-employed,Private,Web developers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,No denomination,NA,Very happy,Good,Exciting,Ballot a,About right,About right,2,$25000 or more,$10000 - 14999,NA,88,Democrat,Slightly liberal,NA,NA,NA,NA
1932,2,61,20,NA,10,15,Health,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Private,Registered nurses,Married,Marriage between a man and a woman,White,Yes,Govt reduce diff,Oppose,Legal,Jewish,NA,NA,Pretty happy,Excellent,Exciting,Ballot c,Too little,Too little,2,$25000 or more,(Missing),NA,88,Democrat,Liberal,Too much,NA,NA,NA
1933,3,30,9,3,6,NA,NA,NA,NA,Female,3,Working parttime,15,NA,Someone else,Private,Maids and housekeeping cleaners,Separated,NA,White,No,Govt reduce diff,Favor,Not legal,None,NA,NA,Very happy,NA,NA,Ballot b,About right,About right,4,Refused,(Missing),NA,88,NA,Extremely liberal,NA,NA,NA,15
1934,1,66,20,NA,11,NA,Industrial relations,Human services/human resources,High school diploma,Female,9,Retired,NA,NA,Someone else,Government,Postsecondary teachers,Divorced,NA,White,Yes,3,Oppose,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,Too little,1,$25000 or more,(Missing),NA,88,Democrat,Extremely liberal,About right,Too little,Too little,NA
1935,4,53,12,12,15,NA,NA,NA,Ged,Female,3,Working parttime,6,NA,Self-employed,Private,Taxi drivers and chauffeurs,Divorced,NA,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,3,$15000 - 19999,$1000 to 2999,NA,88,Independent,Slghtly conservative,NA,NA,NA,NA
1936,4,41,16,20,16,16,Business administration,NA,High school diploma,Male,2,Working parttime,15,NA,Someone else,Private,Postsecondary teachers,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot c,About right,Too little,2,(Missing),(Missing),NA,6,Democrat,Slightly liberal,About right,Too little,Too little,NA
1937,4,56,18,16,16,20,Health,NA,High school diploma,Female,3,Working fulltime,50,NA,Someone else,Private,Physical therapists,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,"Presbyterian, merged",NA,Pretty happy,Excellent,Routine,Ballot a,About right,About right,2,Refused,$25000 or more,NA,6,Republican,Slghtly conservative,Too little,Too little,Too little,NA
1938,0,26,16,20,16,16,Psychology,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Government,Other teachers and instructors,Married,Marriage between a man and a woman,White,Yes,3,Oppose,Not legal,Other,NA,NA,Not too happy,Good,Exciting,Ballot c,Too little,Too little,2,$25000 or more,(Missing),NA,6,Democrat,Slightly liberal,About right,Too little,Too little,NA
1939,3,39,19,12,10,14,Economics,Accounting/bookkeeping,High school diploma,Male,3,School,NA,NA,Someone else,Private,Accountants and auditors,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,2,$25000 or more,$25000 or more,NA,6,NA,Moderate,Too little,Too little,NA,NA
1940,2,60,16,16,16,16,Economics,English,High school diploma,Female,4,Keeping house,NA,NA,Someone else,Private,Jewelers and precious stone and metal workers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot a,About right,About right,2,(Missing),(Missing),NA,6,NA,Conservative,Too much,Too much,Too much,NA
1941,2,56,20,19,18,14,Dentistry,NA,High school diploma,Male,4,Working fulltime,50,NA,Self-employed,Private,Dentists,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Presbyterian-dk wh,NA,Very happy,Excellent,Exciting,Ballot a,Too little,Too little,2,$25000 or more,$25000 or more,NA,416,Republican,Slghtly conservative,NA,NA,NA,NA
1942,0,18,12,16,14,NA,NA,NA,High school diploma,Female,0,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,3,NA,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,3,(Missing),(Missing),NA,416,Democrat,Liberal,NA,Too little,About right,NA
1943,3,62,16,16,18,16,Physical education,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Private,"Directors, religious activities and education",Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Other presbyterian,NA,Very happy,Excellent,Routine,Ballot a,Too little,About right,2,$25000 or more,(Missing),NA,416,NA,Slghtly conservative,About right,Too little,About right,NA
1944,1,48,14,NA,16,18,NA,NA,High school diploma,Female,1,Keeping house,NA,NA,Someone else,Private,Preschool and kindergarten teachers,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,None,NA,NA,Very happy,Excellent,Routine,Ballot c,Too little,About right,3,$25000 or more,(Missing),NA,416,Democrat,Moderate,NA,NA,NA,NA
1945,2,44,20,13,15,20,Engineering,NA,High school diploma,Female,6,Working fulltime,45,NA,Someone else,Government,"Managers, all other",Married,Marriage between a man and a woman,White,Yes,6,Oppose,Legal,Protestant,Lutheran-dk which,NA,Not too happy,NA,NA,Ballot b,About right,Too little,2,$25000 or more,$25000 or more,NA,416,Republican,Slghtly conservative,NA,NA,NA,NA
1946,1,55,16,12,12,14,Business administration,NA,High school diploma,Male,4,Working fulltime,60,NA,Self-employed,Private,Chief executives,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,3,Refused,Refused,NA,416,NA,Moderate,About right,Too little,Too little,NA
1947,0,21,15,20,16,NA,NA,NA,High school diploma,Male,1,School,NA,NA,NA,NA,NA,Never married,NA,White,Yes,5,Favor,Legal,Jewish,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,7,$1000 to 2999,(Missing),NA,416,NA,Moderate,NA,NA,NA,NA
1948,0,24,16,16,16,NA,Political science/international relations,NA,High school diploma,Male,2,Working fulltime,24,NA,Someone else,Private,Social science research assistants,Never married,NA,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,About right,4,$10000 - 14999,$8000 to 9999,NA,416,Democrat,Liberal,Too little,Too little,Too little,NA
1949,1,36,14,15,14,12,NA,NA,Ged,Male,4,Keeping house,NA,NA,Self-employed,Private,Artists and related workers,Married,Marriage between a man and a woman,White,Yes,5,Favor,Legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,3,$25000 or more,(Missing),NA,416,NA,Conservative,NA,NA,NA,NA
1950,0,29,16,16,16,NA,Economics,NA,High school diploma,Male,2,Working fulltime,55,NA,Someone else,Government,"Military, rank not specified",Never married,NA,White,Yes,NA,Favor,NA,None,NA,NA,Not too happy,Excellent,Routine,Ballot a,Too little,Too little,1,$25000 or more,$25000 or more,NA,416,NA,Moderate,About right,About right,Too much,NA
1951,1,66,15,8,8,NA,NA,NA,High school diploma,Female,6,Retired,NA,NA,Someone else,Private,Licensed practical and licensed vocational nurses,Divorced,NA,Other,Yes,4,Oppose,Legal,Protestant,Southern baptist,NA,Pretty happy,Fair,Exciting,Ballot c,Too little,Too little,1,$10000 - 14999,(Missing),NA,416,Democrat,Moderate,NA,NA,NA,NA
1952,2,33,16,18,16,NA,Nursing,NA,High school diploma,Female,2,Working parttime,24,NA,Someone else,Private,Registered nurses,Divorced,NA,White,Yes,NA,Oppose,NA,Protestant,Other,Reformed,Pretty happy,Excellent,Routine,Ballot a,About right,Too little,3,$25000 or more,$25000 or more,NA,416,Republican,Conservative,NA,NA,NA,NA
1953,0,58,14,12,NA,NA,Visual arts/graphic design/design and drafting,NA,High school diploma,Male,3,Retired,NA,NA,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Divorced,NA,White,Yes,4,NA,Legal,Jewish,NA,NA,Pretty happy,Fair,Routine,Ballot c,About right,Too little,1,$10000 - 14999,(Missing),NA,416,Independent,Moderate,Too much,Too little,Too much,NA
1954,2,76,12,NA,7,NA,NA,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Private,Word processors and typists,Divorced,NA,White,Yes,NA,Oppose,NA,Protestant,Lutheran-mo synod,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,1,(Missing),(Missing),NA,416,NA,Conservative,About right,About right,About right,NA
1955,1,46,12,12,10,NA,NA,NA,High school diploma,Male,2,Working fulltime,45,NA,Someone else,Private,Sheet metal workers,Never married,NA,White,Yes,3,Favor,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too little,2,$25000 or more,$8000 to 9999,NA,416,Independent,Conservative,Too little,Too little,Too little,NA
1956,1,30,12,NA,16,NA,NA,NA,High school diploma,Female,5,Working fulltime,60,NA,Someone else,Private,Food preparation workers,Never married,NA,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,About right,5,$25000 or more,$25000 or more,NA,416,Independent,Moderate,NA,NA,NA,NA
1957,2,49,17,16,NA,NA,Child/human/family development,Education,High school diploma,Female,5,Working fulltime,50,NA,Someone else,Government,Secondary school teachers,Divorced,NA,White,Yes,3,Favor,Not legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,About right,NA,1,$25000 or more,$25000 or more,NA,416,Republican,Slghtly conservative,NA,NA,NA,NA
1958,6,51,14,14,14,NA,Aviation/aeronatics,NA,High school diploma,Male,1,Working fulltime,56,NA,Someone else,Private,First-line supervisors of office and administrative support workers,Divorced,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Excellent,Routine,Ballot a,About right,About right,2,$25000 or more,$25000 or more,NA,416,NA,Moderate,About right,Too little,Too little,NA
1959,5,63,12,NA,12,12,NA,NA,High school diploma,Male,1,Retired,NA,NA,Someone else,Private,Glaziers,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,Too much,3,$15000 - 19999,(Missing),NA,416,Democrat,Liberal,NA,NA,NA,NA
1960,0,39,10,12,12,13,NA,NA,Ged,Male,0,Keeping house,NA,NA,Someone else,Government,"Military, rank not specified",Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Fair,Routine,Ballot a,About right,Too little,2,$25000 or more,(Missing),NA,416,Democrat,Extremely liberal,NA,NA,NA,NA
1961,4,69,14,8,12,NA,NA,NA,High school diploma,Female,4,Working parttime,22,NA,Someone else,NA,Taxi drivers and chauffeurs,Divorced,NA,Other,Yes,6,Favor,Not legal,Protestant,No denomination,NA,Not too happy,Fair,Exciting,Ballot c,About right,About right,1,$25000 or more,$15000 - 19999,NA,416,Republican,Conservative,About right,Too much,About right,NA
1962,2,24,12,8,13,12,NA,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Private,Automotive service technicians and mechanics,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,None,NA,NA,Pretty happy,Fair,Exciting,Ballot a,About right,About right,4,$25000 or more,$25000 or more,NA,416,NA,(Missing),About right,About right,About right,NA
1963,NA,NA,20,5,5,12,Other,NA,High school diploma,Male,7,Working fulltime,40,NA,Someone else,Government,Secondary school teachers,Married,Marriage between a man and a woman,Other,Yes,NA,Oppose,NA,NA,NA,NA,Very happy,Good,Exciting,Ballot a,About right,Too much,2,Refused,Refused,NA,8,NA,Conservative,NA,NA,NA,NA
1964,4,42,6,3,6,NA,NA,NA,NA,Female,6,Working fulltime,54,NA,Someone else,Private,"Packers and packagers, hand",Divorced,NA,Other,No,4,Favor,Not legal,Catholic,NA,NA,Very happy,NA,NA,Ballot b,About right,Too much,2,$25000 or more,$1000 to 2999,NA,8,NA,Moderate,NA,NA,NA,23
1965,3,30,12,3,3,13,NA,NA,Ged,Male,2,Working fulltime,48,NA,Someone else,Private,Heavy vehicle and mobile equipment service technicians and mechanics,Married,Marriage between a man and a woman,Other,No,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Routine,Ballot a,Too little,About right,5,$25000 or more,$25000 or more,NA,8,NA,Moderate,NA,NA,NA,27
1966,3,32,13,4,0,12,NA,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Private,Payroll and timekeeping clerks,Married,Marriage between a man and a woman,White,No,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,Too little,5,$25000 or more,$25000 or more,NA,8,Democrat,Moderate,Too much,Too little,Too little,20
1967,4,41,6,NA,2,9,NA,NA,NA,Female,7,Keeping house,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,Other,No,4,Oppose,Legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,6,$20000 - 24999,(Missing),NA,8,NA,Slghtly conservative,Too much,About right,About right,18
1968,0,67,13,6,6,NA,NA,NA,High school diploma,Female,6,Retired,NA,NA,Someone else,Private,Insurance sales agents,Divorced,NA,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Very happy,Good,Routine,Ballot a,About right,NA,1,$20000 - 24999,(Missing),NA,495,Democrat,Slightly liberal,NA,NA,NA,NA
1969,5,28,14,16,16,NA,NA,NA,High school diploma,Female,3,Working fulltime,50,NA,Someone else,Private,Secretaries and administrative assistants,Divorced,NA,White,Yes,4,Oppose,Not legal,Protestant,No denomination,NA,Pretty happy,Poor,Dull,Ballot c,About right,About right,3,$20000 - 24999,$20000 - 24999,NA,495,NA,Moderate,About right,Too little,Too little,NA
1970,0,60,16,8,8,NA,Social work,NA,High school diploma,Female,8,Retired,NA,NA,Someone else,Government,Social workers,Never married,NA,Other,Yes,NA,NA,NA,Catholic,NA,NA,Very happy,Good,Exciting,Ballot c,Too little,Too little,4,Refused,Refused,NA,495,NA,Moderate,NA,NA,NA,NA
1971,0,51,14,18,14,NA,NA,NA,High school diploma,Female,3,Working fulltime,54,NA,Someone else,Government,"Tax examiners and collectors, and revenue agents",Divorced,NA,White,No,NA,Favor,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too much,1,$25000 or more,$25000 or more,NA,495,Republican,Slightly liberal,About right,About right,Too little,50
1972,0,32,16,20,14,NA,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,"Computer, automated teller, and office machine repairers",Never married,NA,White,Yes,2,Oppose,Legal,None,NA,NA,Pretty happy,Good,Routine,Ballot c,About right,About right,2,$25000 or more,$25000 or more,NA,495,Independent,Moderate,NA,NA,NA,NA
1973,1,28,16,12,12,NA,NA,NA,High school diploma,Male,3,"Unempl, laid off",NA,NA,Someone else,Private,Stock clerks and order fillers,Never married,NA,Black,Yes,NA,Oppose,NA,Christian,No denomination,NA,Very happy,Good,Exciting,Ballot a,Too little,Too much,1,$15000 - 19999,$10000 - 14999,NA,495,Democrat,Moderate,NA,NA,NA,NA
1974,4,59,13,6,12,12,NA,NA,High school diploma,Male,1,Working fulltime,44,NA,Someone else,Government,First-line supervisors of office and administrative support workers,Married,Marriage between a man and a woman,White,Yes,4,Favor,Not legal,Protestant,Other,Mormon,Pretty happy,Good,Exciting,Ballot c,About right,About right,3,$25000 or more,$25000 or more,NA,495,Independent,Moderate,About right,Too much,Too much,NA
1975,5,38,9,9,9,9,NA,NA,NA,Female,6,Working fulltime,35,NA,Someone else,Private,Food preparation workers,Married,Marriage between a man and a woman,White,No,Govt reduce diff,Favor,Not legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,7,Refused,$7000 to 7999,NA,495,NA,Liberal,NA,NA,NA,15
1976,1,70,12,12,15,6,NA,NA,High school diploma,Female,4,Retired,NA,NA,Someone else,Government,Education administrators,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Good,Exciting,Ballot a,Too little,Too little,2,$25000 or more,(Missing),NA,495,NA,Moderate,Too little,Too little,Too little,NA
1977,5,36,15,NA,12,NA,Food science/nutrition/culinary arts,NA,High school diploma,Male,9,Keeping house,NA,NA,Someone else,Private,"Carpet, floor, and tile installers and finishers",Never married,NA,Black,Yes,5,Oppose,Legal,Protestant,No denomination,NA,Pretty happy,Fair,Exciting,Ballot c,Too little,About right,2,$25000 or more,$15000 - 19999,NA,495,Republican,Moderate,NA,NA,NA,NA
1978,2,29,16,NA,7,NA,Business administration,NA,High school diploma,Male,3,Working fulltime,60,NA,Someone else,Government,Compliance officers,Never married,NA,White,Yes,2,Favor,Legal,Protestant,Other,Mennonite,Very happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,(Missing),NA,495,Independent,Moderate,Too little,About right,Too little,NA
